uniprot_id	dataset	genomic_accession	species	strain	genomic_context	intergenic_distance	receptor_id	grp_identical_proteins	rep_sequence	receptor_family	r_start	r_end	r_strand	TPR_hmm_name	TPR_hmm_accession	TPR_hmm_coverage	TPR_hmm_evalue	HTH_hmm_name	HTH_hmm_accession	HTH_hmm_coverage	HTH_hmm_evalue	homologous_ref_receptor	blastp_evalue	perc_identity	perc_cover	propeptide_id	p_start	p_end	p_strand	p_RBS_bin	p_RBS_motif	p_RBS_spacer	Prediction	propeptide_score	SP(Sec/SPI)	TAT(Tat/SPI)	LIPO(Sec/SPII)	OTHER	CS_Position	qss_id	genetic_element	Phaster_prophage_prediction	prophage_region	taxid	lineage	class	order	family	genus
Q5WC62	Firmicutes	AP006627.1	Alkalihalobacillus clausii	KSM-K16	(<= <====)	283	BAD66048.1	Cluster 19216	True	subfam_01_Rap	3651133	3651933	-	3q15B00-i1	-	65.6	4.1E-54									smallORF954	3650742	3650849	-	22	AGGAG	10	SP(Sec/SPI)	0.849119	0.849119	0.002375	0.139913	0.008593	CS pos: 22-23. SFA-TG. Pr: 0.6086	7835	chromosome			66692	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Alkalihalobacillus;s__Alkalihalobacillus clausii;x__Alkalihalobacillus clausii KSM-K16	Bacilli	Bacillales	Bacillaceae	Alkalihalobacillus
Q5WBC1	Firmicutes	AP006627.1	Alkalihalobacillus clausii	KSM-K16	(<= <====)	177	BAD66339.1	Cluster 8978	True	subfam_01_Rap	3968052	3969167	-	3ulqA00-i1	-	96.1	3.2E-74					RapA_[B._subtilis]	9.13E-23	26.301	95.8	smallORF938	3967752	3967874	-	22	AGGAG	10	SP(Sec/SPI)	0.986917	0.986917	0.004426	0.005593	0.003064	CS pos: 24-25. VKA-ET. Pr: 0.9663	7839	chromosome			66692	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Alkalihalobacillus;s__Alkalihalobacillus clausii;x__Alkalihalobacillus clausii KSM-K16	Bacilli	Bacillales	Bacillaceae	Alkalihalobacillus
Q5WBM7	Firmicutes	AP006627.1	Alkalihalobacillus clausii	KSM-K16	(<= <====)	-4	BAD66233.1	Cluster 9854	True	subfam_01_Rap	3855972	3857072	-	3q15B00-i1	-	96.6	1.5E-73					RapA_[B._subtilis]	1.12E-23	25.281	94.2	smallORF942	3855859	3855975	-	16	GGAG	10	SP(Sec/SPI)	0.858839	0.858839	0.001857	0.131941	0.007364	CS pos: 21-22. GLA-QS. Pr: 0.3682	7838	chromosome			66692	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Alkalihalobacillus;s__Alkalihalobacillus clausii;x__Alkalihalobacillus clausii KSM-K16	Bacilli	Bacillales	Bacillaceae	Alkalihalobacillus
Q5WBC1	Firmicutes	AP006627.1	Alkalihalobacillus clausii	KSM-K16	(<= <====)	-4	BAD66339.1	Cluster 8978	True	subfam_01_Rap	3968052	3969167	-	3ulqA00-i1	-	96.1	3.2E-74					RapA_[B._subtilis]	9.13E-23	26.301	95.8	smallORF939	3967933	3968055	-	22	AGGAG	10	SP(Sec/SPI)	0.984887	0.984887	0.004088	0.006121	0.004904	CS pos: 24-25. VKA-ET. Pr: 0.9087	7840	chromosome			66692	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Alkalihalobacillus;s__Alkalihalobacillus clausii;x__Alkalihalobacillus clausii KSM-K16	Bacilli	Bacillales	Bacillaceae	Alkalihalobacillus
Q5WBV2	Firmicutes	AP006627.1	Alkalihalobacillus clausii	KSM-K16	(====> =>)	-4	BAD66158.1	Cluster 10051	True	subfam_01_Rap	3778788	3779885	+	3q15B00-i1	-	96.8	7.5E-78					RapA_[B._subtilis]	5.72E-25	24.457	96.8	smallORF933	3779882	3780004	+	22	AGGAG	10	SP(Sec/SPI)	0.823341	0.823341	0.002546	0.166679	0.007434	CS pos: 25-26. GES-HP. Pr: 0.4884	7837	chromosome			66692	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Alkalihalobacillus;s__Alkalihalobacillus clausii;x__Alkalihalobacillus clausii KSM-K16	Bacilli	Bacillales	Bacillaceae	Alkalihalobacillus
A0A060LTA2	Firmicutes	CP003923.1	Alkalihalobacillus lehensis	G1	(<= <====)	1	AIC93215.1	Cluster 10382	True	subfam_01_Rap	606259	607353	-	3q15B00-i1	-	97.6	5.6E-76					RapA_[B._subtilis]	2.2E-24	27.027	97.1	AIC93214.1	606132	606257	-				SP(Sec/SPI)	0.831446	0.831446	0.000937	0.147588	0.02003	CS pos: 24-25. SIG-EL. Pr: 0.4733	1074	chromosome			1246626	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Alkalihalobacillus;s__Alkalihalobacillus lehensis;x__Alkalihalobacillus lehensis G1	Bacilli	Bacillales	Bacillaceae	Alkalihalobacillus
A0A060LT68	Firmicutes	CP003923.1	Alkalihalobacillus lehensis	G1	(<= <====)	-4	AIC94441.1	Cluster 10383	True	subfam_01_Rap	1824116	1825210	-	3q15B00-i1	-	96	1.3E-71					RapA_[B._subtilis]	3.84E-22	26.703	95.1	AIC94440.1	1823994	1824119	-				SP(Sec/SPI)	0.93138	0.93138	0.001839	0.031469	0.035312	CS pos: 24-25. ENA-DL. Pr: 0.2936	1076	chromosome			1246626	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Alkalihalobacillus;s__Alkalihalobacillus lehensis;x__Alkalihalobacillus lehensis G1	Bacilli	Bacillales	Bacillaceae	Alkalihalobacillus
A0A060M1P9	Firmicutes	CP003923.1	Alkalihalobacillus lehensis	G1	(<= <====)	-4	AIC94473.1	Cluster 11137	True	subfam_01_Rap	1859592	1860674	-	3q15B00-i1	-	95.8	2.1E-69					RapA_[B._subtilis]	1.22E-16	25.895	93.9	AIC94472.1	1859404	1859595	-				SP(Sec/SPI)	0.992611	0.992611	0.003289	0.003416	0.000684	CS pos: 27-28. VEA-SP. Pr: 0.9430	1077	chromosome			1246626	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Alkalihalobacillus;s__Alkalihalobacillus lehensis;x__Alkalihalobacillus lehensis G1	Bacilli	Bacillales	Bacillaceae	Alkalihalobacillus
A0A060LXZ4	Firmicutes	CP003923.1	Alkalihalobacillus lehensis	G1	(<= <====)	-4	AIC96106.1	Cluster 10896	True	subfam_01_Rap	3420889	3421977	-	3q15B00-i1	-	95.5	2.5E-69					RapA_[B._subtilis]	4.03E-18	29.6	65.6	AIC96105.1	3420743	3420892	-				SP(Sec/SPI)	0.984206	0.984206	0.001098	0.012846	0.00185	CS pos: 23-24. ANA-ID. Pr: 0.9092	1082	chromosome			1246626	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Alkalihalobacillus;s__Alkalihalobacillus lehensis;x__Alkalihalobacillus lehensis G1	Bacilli	Bacillales	Bacillaceae	Alkalihalobacillus
A0A060M7R1	Firmicutes	CP003923.1	Alkalihalobacillus lehensis	G1	(<==== <=)	120	AIC96104.1	Cluster 10895	True	subfam_01_Rap	3419534	3420622	-	3q15B00-i1	-	95	1E-65					RapA_[B._subtilis]	1.29E-16	26.05	63	AIC96105.1	3420743	3420892	-				SP(Sec/SPI)	0.984206	0.984206	0.001098	0.012846	0.00185	CS pos: 23-24. ANA-ID. Pr: 0.9092	1081	chromosome			1246626	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Alkalihalobacillus;s__Alkalihalobacillus lehensis;x__Alkalihalobacillus lehensis G1	Bacilli	Bacillales	Bacillaceae	Alkalihalobacillus
