# 2023/03/12 - 10:28 | PDB: 10.23 | UniProt: 2023.02
PDB,CHAIN,SP_PRIMARY,SUNID,SCOP_ID
101m,A,P02185,15125,d101ma_
102l,A,P00720,36724,d102la_
102m,A,P02185,15073,d102ma_
103l,A,P00720,36870,d103la_
103m,A,P02185,15124,d103ma_
104l,A,P00720,36969,d104la_
104l,B,P00720,36970,d104lb_
104m,A,P02185,15041,d104ma_
105m,A,P02185,15128,d105ma_
106m,A,P02185,15101,d106ma_
107l,A,P00720,36690,d107la_
107m,A,P02185,15122,d107ma_
108l,A,P00720,36669,d108la_
108m,A,P02185,15142,d108ma_
109l,A,P00720,36781,d109la_
109m,A,P02185,15063,d109ma_
10gs,A,P09211,17556,d10gsa1
10gs,A,P09211,32850,d10gsa2
10gs,B,P09211,17557,d10gsb1
10gs,B,P09211,32851,d10gsb2
10mh,A,P05102,34232,d10mha_
110l,A,P00720,36684,d110la_
110m,A,P02185,15050,d110ma_
111l,A,P00720,36661,d111la_
111m,A,P02185,15088,d111ma_
112l,A,P00720,36677,d112la_
112m,A,P02185,15135,d112ma_
113l,A,P00720,36678,d113la_
114l,A,P00720,36663,d114la_
115l,A,P00720,36700,d115la_
117e,A,P00817,25401,d117ea_
117e,B,P00817,25402,d117eb_
118l,A,P00720,36642,d118la_
119l,A,P00720,36622,d119la_
11as,A,P00963,40785,d11asa_
11as,B,P00963,40786,d11asb_
11ba,A,P00669,37284,d11baa_
11ba,B,P00669,37285,d11bab_
11bg,A,P00669,37282,d11bga_
11bg,B,P00669,37283,d11bgb_
11gs,A,P09211,17568,d11gsa1
11gs,A,P09211,32862,d11gsa2
11gs,B,P09211,17569,d11gsb1
11gs,B,P09211,32863,d11gsb2
120l,A,P00720,36720,d120la_
121p,A,P01112,31968,d121pa_
122l,A,P00720,36667,d122la_
123l,A,P00720,36697,d123la_
125l,A,P00720,36672,d125la_
126l,A,P00720,36699,d126la_
127l,A,P00720,36745,d127la_
128l,A,P00720,36634,d128la_
129l,A,P00720,36660,d129la_
12as,A,P00963,40783,d12asa_
12as,B,P00963,40784,d12asb_
12ca,A,P00918,27942,d12caa_
12gs,A,P09211,17558,d12gsa1
12gs,A,P09211,32852,d12gsa2
12gs,B,P09211,17559,d12gsb1
12gs,B,P09211,32853,d12gsb2
130l,A,P00720,36638,d130la_
131l,A,P00720,36685,d131la_
132l,A,P00698,36262,d132la_
133l,A,P61626,36524,d133la_
134l,A,P61626,36505,d134la_
135l,A,P00703,36388,d135la_
137l,A,P00720,36791,d137la_
137l,B,P00720,36792,d137lb_
138l,A,P00720,36679,d138la_
139l,A,P00720,36643,d139la_
13gs,A,P09211,17530,d13gsa1
13gs,A,P09211,32824,d13gsa2
13gs,B,P09211,17531,d13gsb1
13gs,B,P09211,32825,d13gsb2
13pk,A,P07378,35455,d13pka_
13pk,B,P07378,35456,d13pkb_
13pk,C,P07378,35457,d13pkc_
13pk,D,P07378,35458,d13pkd_
140l,A,P00720,36891,d140la_
141l,A,P00720,36863,d141la_
142l,A,P00720,36874,d142la_
143l,A,P00720,36857,d143la_
144l,A,P00720,36893,d144la_
145l,A,P00720,36860,d145la_
146l,A,P00720,36763,d146la_
147l,A,P00720,36864,d147la_
148l,E,P00720,36843,d148le_
149l,A,P00720,36959,d149la_
14gs,A,P09211,17572,d14gsa1
14gs,A,P09211,32866,d14gsa2
14gs,B,P09211,17573,d14gsb1
14gs,B,P09211,32867,d14gsb2
150l,A,P00720,36948,d150la_
150l,B,P00720,36949,d150lb_
150l,C,P00720,36950,d150lc_
150l,D,P00720,36951,d150ld_
151l,A,P00720,36944,d151la_
152l,A,P00720,36904,d152la_
153l,A,P00718,36984,d153la_
154l,A,P00718,36985,d154la_
155c,A,P00096,15900,d155ca_
155l,A,P00720,36762,d155la_
156l,A,P00720,36709,d156la_
157l,A,P00720,36717,d157la_
158l,A,P00720,36747,d158la_
159l,A,P00720,36682,d159la_
15c8,H,P01869,20301,d15c8h1
15c8,H,P01869,21293,d15c8h2
15c8,L,P01837,20300,d15c8l1
15c8,L,P01837,21292,d15c8l2
160l,A,P00720,36748,d160la_
161l,A,P00720,36636,d161la_
162l,A,P00720,36749,d162la_
163l,A,P00720,36658,d163la_
164l,A,P00720,36714,d164la_
165l,A,P00720,36680,d165la_
166l,A,P00720,36681,d166la_
167l,A,P00720,36937,d167la_
167l,B,P00720,36938,d167lb_
168l,A,P00720,36975,d168la_
168l,B,P00720,36976,d168lb_
168l,C,P00720,36977,d168lc_
168l,D,P00720,36978,d168ld_
168l,E,P00720,36979,d168le_
169l,A,P00720,36963,d169la_
169l,B,P00720,36964,d169lb_
169l,C,P00720,36965,d169lc_
169l,D,P00720,36966,d169ld_
169l,E,P00720,36967,d169le_
16gs,A,P09211,17548,d16gsa1
16gs,A,P09211,32842,d16gsa2
